"","No.","Program","Intervention","Percentage of cases in need covered under optimal package","Total number of cases covered under the optimal package","DALYs averted","Consumable expenditure required","Doctors/Clinical Officers","Nursing staff","Pharmaceutical staff","Mental health staff","Nutrition staff"
"88",44,"NCDs","Breast Cancer - active screening (biannual clinical breast examination of asymptomatic women aged 40-69 years) + treatment of stages I-IV",0,0,0,0,0,0,0,0,0
"90",45,"NCDs","Breast Cancer - active screening (biannual mammography of asymptomatic women aged 50-69 years) + treatment of stages I-IV",0,0,0,0,0,0,0,0,0
"79",46,"NCDs","Chronic Obstructive Pulmonary Disorder (COPD) - Inhaled salbutamol",0,0,0,0,0,0,0,0,0
"72",47,"NCDs","Colorectoral cancer (active screening + treatment)",0,0,0,0,0,0,0,0,0
"73",48,"NCDs","Colorectoral cancer (treatment)",0,0,0,0,0,0,0,0,0
"84",49,"NCDs","Community-based management of hypertension (prevention and monitoring)",0,0,0,0,0,0,0,0,0
"81",50,"NCDs","COPD - oxygen therapy and drugs",0,0,0,0,0,0,0,0,0
"80",51,"NCDs","COPD - treatment of severe exacerbations",0,0,0,0,0,0,0,0,0
"78",52,"NCDs","Elective inguinal hernia repair",1,431.637768,2643.781329,39507.80490504,1.68173225840242,1.62504371537269,0,0,0
"77",53,"NCDs","Emergency inguinal hernia repair",0.999999999999296,727.712999999488,26076.3824999817,66607.5708899531,0.281962582844394,0.677402615900768,0,0,0
"71",54,"NCDs","Gastrointestinal Tract (GIT) cancer",0,0,0,0,0,0,0,0,0
"123",55,"NCDs","Human papillomavirus (HPV) vaccination for girls 9-13",0,0,0,0,0,0,0,0,0
"87",56,"NCDs","Prevention and treatment of cardiovascular disease",0.984489078547935,3162941.89933184,16652.8890999821,95595210.9660352,323.402718118589,327.141349611888,0,0,0
"86",57,"NCDs","Prevention of cardiovascular disease",0,0,0,0,0,0,0,0,0
"85",58,"NCDs","Retinopathy Screening and photocoagulation for diabetics",0,0,0,0,0,0,0,0,0
"122",59,"NCDs","Smear test at age 40 for cervical cancer detection + cancer treatment",0,0,0,0,0,0,0,0,0
"97",60,"NCDs","Substance use disorder (alcohol) - Brief advice on alcohol use in primary care including education and psychosocial counselling",0,0,0,0,0,0,0,0,0
"119",61,"NCDs","Testing of pre-cancerous cells (vinegar)",1.00000000000027,1430071.69536039,86214.8486198132,4276055.07846497,146.221172599379,147.91153279192,0,0,0
"75",62,"NCDs","Treatment of injuries (Fracture and dislocation - fixation)",0,0,0,0,0,0,0,0,0
"74",63,"NCDs","Treatment of injuries (Fracture and dislocation - reduction)",0.999999999999715,374252.399999894,603164.062135751,1946112.47999945,563.925165689025,464.504650903578,26.2248247128224,0,0
"98",64,"NTDs","Schistosomiasis Mass drug administration (adults)",1.00000000000011,6384460.45060073,775488.488632217,2292126.30479406,0,132.06825005508,0,0,0
"99",65,"NTDs","Trachoma mass drug administration",1,12879700,260526.53715,6834923.25672474,0,266.428064422322,0,0,0
"100",66,"NTDs","Trachoma Trichiasis cases surgery",1,1127,122.633571629183,10983.2475625893,1.69816856680601,1.5153449117027,0,0,0
"63",67,"Nutrition","Calcium supplementation",0,0,0,0,0,0,0,0,0
"65",68,"Nutrition","Community-based management of moderate acute malnutrition (children)",0.999999999999808,273539.004747376,1066802.11851477,12027248.3719872,0,99.0290537308925,3.8335158046398,0,46.0000000000119
"64",69,"Nutrition","Community-based management of severe malnutrition (children)",0.999999999999928,121572.890998848,474134.274895509,6309361.95976047,0,206.217168324886,0,0,0
"118",70,"Nutrition","Community management of nutrition in under-5 - micronutrient powder",0,0,0,0,0,0,0,0,0
"66",71,"Nutrition","Inpatient management of severe malnutrition (children)",0,0,0,0,0,0,0,0,0
"114",72,"Nutrition","Iron fortification",1,41583600,84978.6973072484,1953673.33845172,0,0,0,0,0
"69",73,"Nutrition","Provision of supplementary food and nutrition counselling with growth monitoring",0,0,0,0,0,0,0,0,0
"67",74,"Nutrition","Vitamin-A fortification (sugar) and Zinc fortification (wheat)",1,7129300,94013.3834575156,154591.159071851,0,0,0,0,0
"68",75,"Nutrition","Vitamin A supplementation in infants and children 6-59 months",0,0,0,0,0,0,0,0,0
"70",76,"Nutrition","Zinc supplementation",0.999999999999487,7598305.6874961,24286.7907265124,20800361.8195206,0,314.355439522459,0,0,0
"17",77,"RMNCH","Antenatal corticosteroids for preterm labour",0.999999999999504,97004.4355999519,122225.588855939,328913.99569075,0.104404793621876,2.40794776436796,1.35946987646611,0,0
"18",78,"RMNCH","Antibiotics for preterm premature rupture of membranes (pPROM)",1.00000000000044,90537.5378828966,71524.6549274883,80900.0021256048,0.292333630907739,2.24741951837724,2.03014313199127,0,0
"6",79,"RMNCH","Basic Antenatal care (ANC) visit",1.00000000000042,1940088.71162617,156468.207942561,37648617.3197876,125.285752322173,4374.43843776105,0,0,0
"2",80,"RMNCH","Caesarean section with indication (Elective)",0.999999999999772,9894.452429287,95346.5415913111,622381.517477091,4.79218002631998,22.5143115924986,0,0,0
"1",81,"RMNCH","Caesarean Section with indication, with complication (Emergency)",0.999999999999978,1746.07984046277,47473.7728052353,189116.963980467,0.845678828174289,3.61192164585614,0.244704577716761,0,0
"22",82,"RMNCH","Chlorhexidine for infection prevention during delivery",0.999999999999903,1928448.17935541,2275568.85163938,807735.381732423,0,39.8916679553415,27.026261138938,0,0
"16",83,"RMNCH","Clean practices and immediate essential newborn care (in facility)",1.00000000000042,1940088.71162617,556245.852123869,2650659.84711602,2.08809587203621,80.2649254635055,0,0,0
"113",84,"RMNCH","Daily iron and folic acid supplementation (pregnant women)",1.00000000000042,1940088.71162617,368616.855208971,2933414.13197876,0,321.059701854022,0,0,0
"5",85,"RMNCH","Ectopic case management",0,0,0,0,0,0,0,0,0
"107",86,"RMNCH","Fistula",1.0000000000004,10224.2000000041,71773.8840000288,497969.6610002,0.396150933063012,2.66485819428824,0,0,0
"9",87,"RMNCH","Hypertensive disorder case management",0,0,0,0,0,0,0,0,0
"19",88,"RMNCH","Induction of labour (beyond 41 weeks)",0.999999999999754,97004.4355771939,709102.424069287,34688.7861624045,25.0571504633718,193.438470358844,2.73253445105581,0,0
"14",89,"RMNCH","Kangaroo mother care",1.00000000000048,380028.144500181,695451.504435332,3.80028144500182e-30,0,235.836618007849,0,0,0
"10",90,"RMNCH","Management of eclampsia",1.00000000000038,194008.871154106,25221.1532500338,1647085.20273787,62.6428761583384,655.563778694424,0,0,0
"13",91,"RMNCH","Management of obstructed labour",1.00000000000006,194008.871160012,423060.225558846,3982345.55015141,62.6428761602453,240.794776387284,5.43787950474632,0,0
"11",92,"RMNCH","Management of pre-eclampsia",0.999999999999282,72064.4520238397,9368.37876309916,611808.583111625,46.5373002450189,254.689062080544,0,0,0
"20",93,"RMNCH","Maternal Sepsis case management",0,0,0,0,0,0,0,0,0
"111",94,"RMNCH","Modern contraception: Female sterilization",1.00000000000048,351977.55185202,130231.694185247,1742288.8816675,530.36132633224,473.262992220524,0,0,0
"109",95,"RMNCH","Modern contraception: Intrauterine device (IUD)",1.00000000000048,281582.041481616,104185.355348198,467426.188859483,166.684988275847,495.105899553779,29.9913863312753,0,0
"110",96,"RMNCH","Modern contraception: Levonorgestrel-releasing implant",1.00000000000048,70395.510370404,26046.3388370495,2435684.65881598,13.259033158306,29.1238764443399,1.97311752179443,0,0
"108",97,"RMNCH","Modern contraception: Long-acting injectable hormones",1.00000000000064,3167797.9666687,1172085.24766742,17169464.9793444,681.89313385585,3604.07970998766,0,0,0
"112",98,"RMNCH","Modern contraception: Male sterilization",0.999999999999898,321920.275925893,119110.50209258,2697691.91225898,485.070890501216,399.552455475992,22.5577786746655,0,0
"106",99,"RMNCH","Modern contraceptive: Condoms",0,0,0,0,0,0,0,0,0
"105",100,"RMNCH","Modern contraceptive: Oral contraceptive pill",1.00000000000026,2463842.86296361,911621.859296537,14906249.3209299,0,2201.76505919163,0,0,0
"12",101,"RMNCH","Neonatal resuscitation (institutional)",0.999999999999312,190014.072248599,250702.355886536,71865.9542983652,40.9020059251335,78.6122060019994,0,0,0
"21",102,"RMNCH","Newborn sepsis - Full supportive care",0,0,0,0,0,0,0,0,0
"4",103,"RMNCH","Post-abortion case management",0,0,0,0,0,0,0,0,0
"120",104,"RMNCH","Prenatal distribution of misoprostol (for post-partum hemorrhage prevention)",1.00000000000077,2573730.42923198,205898.434338558,920366.001493355,0,53.2399059454108,36.0695773038115,0,0
"3",105,"RMNCH","Safe abortion services",0,0,0,0,0,0,0,0,0
"15",106,"RMNCH","Support for breastfeeding mothers",1.00000000000042,1940088.71162617,470066.917287777,1.94008871162617e-29,2.08809587203621,48.1589552781033,0,0,0
"8",107,"RMNCH","Syphilis detection and treatment (pregnant women)",1.00000000000039,2573730.42923424,254777.960550616,1236635.46224086,138.503869766692,702.766758480041,0,0,0
"7",108,"RMNCH","Tetanus toxoid (pregnant women)",1.00000000000042,1940088.71162617,183074.839521454,425653.406106222,0,80.2649254635055,0,0,0
"125",109,"RMNCH","Vaginal Delivery with complication (including active management of third stage of labour)",0.999999999999178,289267.226903101,165357.919567143,5437825.68934216,93.4005283560635,370.992511984407,0,0,0
"124",110,"RMNCH","Vaginal delivery without complication - skilled attendance (including active management of third stage of labour)",1.00000000000003,1639180.9524523,185341.117927601,4066486.08394799,0,4001.13429592126,45.9446439362005,0,0
"46",111,"TB","Cotrimoxazole preventive therapy for TB HIV+ patients",0,0,0,0,0,0,0,0,0
"45",112,"TB","Full combination DOTS (Multi-drug resistant, MDR cases)",1.00000000000005,1031.34682526321,7834.44862146004,26321762.1710326,16.6948076007497,105.530251171251,13.0662559804227,0,0
"44",113,"TB","Full DOTS (smear negative and extrapulmonary cases)",1,18103,20369.566415795,7250642.62802745,28.0570424727092,204.651503703866,0,0,0
"40",114,"TB","Isoniazid Preventive Therapy for children in contact with TB patients",1.0000000000006,46037.1037992936,21671.208696051,101281.628358446,4.45942998611177,12.3801403712136,4.51631297058338,0,0
"42",115,"TB","Isoniazid Preventive Therapy for HIV+ people",0,0,0,0,0,0,0,0,0
"41",116,"TB","Isoniazid Preventive Therapy for HIV+ pregnant women",0.99999999999979,127329.917073567,2583142.02767146,1434947.84421418,12.3339394415968,34.2411254560704,12.4912670121417,0,0
"43",117,"TB","Minimal Directly Observed Therapy Shortcourse (DOTS, smear positive cases)",1,25520,350983.298241392,4075074.57752088,56.0324591981079,412.029014749335,0,0,0
"115",118,"TB","Xpert test (Specific cases - HIV +ve, known contact of MDR-TB cases, retreatment cases)",0.999999999999759,377881.386255464,2907.10094948365,4354489.95591084,0,39.0840649709494,0,0,0
"31",119,"Vaccine Preventable Diseases","BCG vaccine",1.00000000000008,1861757.87938904,213380.250013242,1055517.6820458,0,77.0242394199601,26.091629095609,0,0
"29",120,"Vaccine Preventable Diseases","DPT-Heb-Hib / Pentavalent vaccine",1.00000000000008,1861757.87938904,7772522.73477361,3422773.69718811,0,231.07271825988,78.2748872868271,0,0
"28",121,"Vaccine Preventable Diseases","Measles vaccine",1.00000000000008,1861757.87938904,10516.0980976662,1316380.01155756,0,115.53635912994,0,0,0
"121",122,"Vaccine Preventable Diseases","Oral cholera vaccine",0,0,0,0,0,0,0,0,0
"32",123,"Vaccine Preventable Diseases","Pneumococcal vaccine",1.00000000000008,1861757.87938904,6516152.57786166,17292108.9388454,0,154.04847883992,52.1832581912181,0,0
"30",124,"Vaccine Preventable Diseases","Polio vaccine",0,0,0,0,0,0,0,0,0
"27",125,"Vaccine Preventable Diseases","Rotavirus vaccine",1.00000000000008,1861757.87938904,349954.488606963,8652088.65142208,0,222.92394644284,5.52072265655788,0,0
